"","bg_female","bg_married","bg_b1_age","encouragement","safe_box","locked_box","fol2_amtinvest","has_followup2"
"1",0,1,30,0,1,0,340,1
"2",1,1,29,0,1,0,80,1
"3",1,1,40,0,1,0,0,1
"4",0,1,44,0,1,0,100,1
"5",0,1,22,0,1,0,NA,0
"6",1,0,35,0,1,0,510,1
"7",1,0,45,0,1,0,NA,0
"8",1,0,28,0,1,0,60,1
"9",1,1,45,0,1,0,1140,1
"10",1,1,42,0,1,0,0,1
"11",0,1,48,0,1,0,100,1
"12",1,1,25,0,1,0,33,1
"13",1,1,25,0,1,0,940,1
"14",1,1,28,0,1,0,850,1
"15",1,0,40,0,1,0,290,1
"16",1,1,37,0,1,0,40,1
"17",1,1,45,0,0,1,120,1
"18",1,1,30,0,0,1,1300,1
"19",1,0,40,0,0,1,100,1
"20",1,0,48,0,0,1,0,1
"21",1,1,40,0,0,1,640,1
"22",1,1,52,0,0,1,800,1
"23",0,1,33,0,0,1,1560,1
"24",1,1,47,0,0,1,96,1
"25",1,0,42,0,0,1,470,1
"26",1,0,55,0,0,1,60,1
"27",1,0,40,0,0,1,100,1
"28",1,0,24,0,0,1,550,1
"29",1,1,20,0,0,1,NA,0
"30",1,1,50,0,0,1,220,1
"31",0,1,51,0,0,1,40,1
"32",0,1,46,0,0,1,60,1
"33",1,1,40,0,0,1,80,1
"34",1,0,17,0,0,1,NA,0
"35",0,1,68,0,0,1,0,1
"36",1,1,33,0,0,1,NA,0
"37",1,1,38,0,0,1,NA,0
"38",1,1,68,0,0,1,0,1
"39",1,1,46,0,0,1,40,1
"40",0,1,48,1,0,0,110,1
"41",0,0,32,1,0,0,0,1
"42",0,1,35,1,0,0,93,1
"43",1,1,47,1,0,0,20,1
"44",1,1,35,1,0,0,80,1
"45",0,1,56,1,0,0,1399,1
"46",0,1,33,1,0,0,0,1
"47",0,1,24,1,0,0,125,1
"48",1,1,24,1,0,0,225,1
"49",1,1,48,1,0,0,105,1
"50",1,0,30,1,0,0,40,1
"51",0,1,48,0,0,1,440,1
"52",1,0,63,0,0,1,500,1
"53",0,1,35,0,0,1,40,1
"54",1,0,62,0,0,1,700,1
"55",0,1,56,0,0,1,770,1
"56",1,1,45,0,0,1,0,1
"57",0,1,34,0,0,1,0,1
"58",1,1,40,0,0,1,720,1
"59",1,1,52,0,0,1,0,1
"60",1,1,45,0,0,1,900,1
"61",1,1,45,0,0,1,40,1
"62",1,1,40,0,0,1,0,1
"63",1,1,35,0,0,1,0,1
"64",1,1,23,0,0,1,700,1
"65",1,1,23,0,0,1,60,1
"66",1,1,23,0,0,1,470,1
"67",1,1,30,0,0,1,520,1
"68",0,1,41,0,0,1,300,1
"69",1,1,21,0,1,0,993,1
"70",1,0,32,1,0,0,180,1
"71",1,0,34,1,0,0,300,1
"72",1,1,43,1,0,0,60,1
"73",1,1,34,1,0,0,20,1
"74",1,0,38,1,0,0,725,1
"75",1,1,38,1,0,0,0,1
"76",1,1,39,1,0,0,120,1
"77",1,1,38,1,0,0,20,1
"78",1,1,32,0,0,1,560,1
"79",1,1,28,0,0,1,840,1
"80",1,1,27,0,0,1,63,1
"81",1,1,25,0,0,1,880,1
"82",1,1,26,0,1,0,500,1
"83",1,1,38,0,1,0,1430,1
"84",1,1,38,0,1,0,350,1
"85",1,1,26,0,1,0,640,1
"86",0,1,36,0,1,0,0,1
