song_id,listen_soc,listen_indep,down_soc,down_indep
100102,20,138,9,59
123111,23,126,15,61
131405,23,134,8,51
144102,22,129,11,45
165411,28,148,15,65
165444,26,106,8,40
225647,211,159,79,70
241124,115,146,40,64
306121,74,102,22,25
311089,94,149,47,76
326122,19,107,10,32
331122,56,162,20,54
395650,16,118,8,60
411241,125,120,51,46
440341,26,86,7,28
501405,26,137,8,33
523645,31,133,7,24
592645,312,143,154,79
595655,21,112,10,53
641126,31,106,15,50
646341,28,98,8,36
744101,91,116,30,42
744601,34,111,17,44
765447,21,105,10,36
777561,26,120,9,35
781123,109,120,50,60
792647,24,114,9,24
806122,29,99,15,41
806126,29,102,8,29
846626,52,113,28,56
865431,42,104,23,51
881121,29,116,13,41
911249,52,109,25,59
911789,32,114,9,37
946646,42,96,15,20
994601,40,98,6,23
995601,29,105,9,40
995651,36,89,7,10
2814479,20,105,12,50
2814575,31,117,12,41
3123313,65,109,39,65
3124513,86,131,40,62
4004513,16,100,9,49
4123311,23,108,10,37
5014503,28,126,7,35
7014523,74,98,32,51
7814573,19,95,8,49
8814579,49,164,17,54
