id,world_id,country_code,country,web,visit,purchase,download
4,1,1,United States,3,1,1,0
9,1,1,United States,4,3,1,6
14,9,1,United States,4,3,1,30
57,1,1,United States,5,1,1,2
62,1,5,Nicaragua,4,3,0,0
67,9,1,United States,5,2,1,0
72,9,1,United States,5,1,0,0
75,9,5,Indonesia,3,2,0,35
77,9,5,Indonesia,4,0,0,0
78,9,5,Indonesia,4,3,1,25
86,9,5,Japan,5,1,0,5
87,9,5,Indonesia,5,1,1,5
88,9,5,Greece,4,3,0,30
91,1,5,Japan,5,0,0,0
93,9,5,Indonesia,5,3,0,10
96,9,2,United Kingdom,4,2,0,25
97,9,2,United Kingdom,4,1,0,0
98,9,5,Australia,4,1,1,20
99,1,5,Germany,4,1,1,0
100,9,5,Portugal,5,3,1,10
101,9,5,Hungary,4,3,1,5
103,1,5,Poland,4,0,0,0
105,9,1,United States,4,1,0,0
107,1,1,United States,4,2,1,0
112,1,1,United States,4,1,0,0
113,9,1,United States,5,1,0,0
115,9,1,United States,5,2,1,20
119,9,2,United Kingdom,5,1,0,0
121,9,1,United States,5,1,0,2
128,9,1,United States,4,2,0,5
131,9,1,United States,5,2,0,1
132,1,1,United States,4,2,1,3
134,9,1,United States,5,3,1,15
138,9,5,Mexico,4,3,1,100
139,9,1,United States,5,1,1,0
142,9,2,United Kingdom,5,0,0,10
146,9,5,Indonesia,4,1,1,5
147,9,5,India,5,1,0,0
150,9,1,United States,5,2,1,5
151,9,5,Indonesia,5,3,0,100
152,9,5,New Zealand,4,1,1,10
154,1,1,United States,5,1,1,3
157,9,1,United States,5,3,1,36
159,1,5,Norway,4,3,1,100
163,1,1,United States,4,1,0,0
166,9,1,United States,5,1,1,7
172,9,1,United States,4,1,1,0
174,1,1,United States,4,0,0,0
181,1,1,United States,4,0,0,1
183,9,1,United States,5,3,0,0
189,9,1,United States,5,3,1,20
194,9,1,United States,5,3,1,15
195,9,1,United States,5,3,1,30
197,9,1,United States,5,1,1,0
203,1,1,United States,5,3,1,5
204,9,1,United States,5,3,1,400
206,9,1,United States,4,3,1,0
207,9,1,United States,4,3,1,50
209,9,1,United States,5,3,1,0
210,9,1,United States,5,3,1,25
213,1,1,United States,5,2,0,0
214,1,1,United States,5,1,1,5
218,9,1,United States,5,1,1,0
219,9,5,Indonesia,5,1,0,0
221,9,5,Australia,5,3,1,5
222,9,5,Indonesia,5,3,1,0
228,1,1,United States,4,2,0,0
229,9,5,Indonesia,5,0,1,2
233,9,5,Indonesia,5,1,0,0
234,9,5,Indonesia,4,0,0,0
236,9,1,United States,4,0,0,0
237,9,1,United States,3,3,0,20
238,9,2,United Kingdom,5,2,1,3
239,9,3,Canada,4,3,1,0
241,1,1,United States,4,1,0,0
246,9,4,Brazil,3,3,1,3
247,9,1,United States,5,3,1,150
251,9,1,United States,5,3,1,50
257,9,1,United States,5,3,1,250
258,1,1,United States,5,1,0,2
261,9,5,Indonesia,3,0,0,0
262,9,5,Indonesia,4,3,1,15
