"FIPS","pct_for_born15","pct_bach_deg15","pct_non_white15","pct_unemp12","pct_unemp16"
"01001",1.56,23.23,22.6,6.6,5.4
"01003",3.53,28.99,13.57,7.2,5.5
"01005",2.74,12.52,52.64,11.2,8.6
"01007",1.11,10.65,23.35,8.2,6.7
"01009",4.15,12.89,4.9,6.6,5.5
"01011",5.37,13.86,73.36,10.7,7.8
"01013",0.71,14.52,45.84,10.6,6.9
"01015",2.56,17.56,24.89,8.4,6.6
"01017",1.06,11.59,42.33,8.7,5.5
"01019",1,13.76,7.08,7.5,5.3
"01021",5.32,14.08,15.95,6.7,5.6
"01023",0.16,11.81,44.11,9.3,8.9
"01025",0.5,12.94,46.44,13.7,10.8
"01027",2.14,9.59,18.26,8.6,6
"01029",1.54,12.06,6.03,7.7,6.3
"01031",4.24,23.86,23.22,6.7,6
"01033",1.86,18.58,20.45,8.1,6.7
"01035",1.02,8.22,47.84,11.3,8.6
"01037",1.79,8.46,32.65,8.4,6.4
"01039",1.07,14.33,15.66,7.9,6.8
"01041",2.35,14.29,28.5,7.9,5.8
"01043",2.47,14.56,4.31,7.3,5.2
"01045",3.24,16.35,25.34,7.1,6
"01047",0.79,14.02,71.33,12.1,9.2
"01049",7.6,11.18,13.58,8.3,6.1
"01051",2.1,21.42,24.48,6.6,5.1
"01053",0.57,12.54,38.57,8.8,6.6
"01055",2.69,16.04,18.75,8.4,6.1
"01057",0.45,14.12,14.45,8.1,6.9
"01059",8.82,11.41,11.73,8,6.1
"01061",2.72,12.35,13.5,7.2,5.9
"01063",0.22,10.94,82.21,12.5,10.1
"01065",0.96,13.87,60.04,10.6,7.6
"01067",1.45,16.52,29.63,7.9,6.6
"01069",2.39,20.59,30.29,7.3,5.8
"01071",2.27,12.44,9.03,7.9,6.3
"01073",4.02,30.79,47.23,7,6
"01075",0.83,11.5,12.62,7.1,5.7
"01077",1.86,21.81,13.07,7.1,6.1
"01079",0.68,11.12,22.65,8.3,6.7
"01081",5.5,34.03,30.11,6.4,5.1
"01083",4.72,23.24,18.95,6.4,5.3
"01085",0.3,14.14,74.5,14.4,10.4
"01087",1.33,19.33,83.17,9.9,7.7
"01089",5.39,39.37,31.07,6.5,5.2
"01091",1.1,15.27,53.3,9.4,7.5
"01093",1.69,11.54,6.38,8.1,6.7
"01095",7.7,16.62,7.99,7.4,5.5
"01097",3.09,21.96,40,8.6,6.9
"01099",0.25,12.24,44.57,11.6,9
"01101",4.31,31.12,61.08,7.7,5.9
"01103",4.67,21.31,17.31,7.2,5.6
"01105",0.54,13.25,69.37,12.5,10.1
"01107",1.1,9.89,43.82,9.1,6.9
"01109",3.21,23.39,42.13,7.7,6.6
"01111",1.8,15.07,22.79,8.6,5.9
"01113",2.49,17.09,46.77,8.2,5.6
"01115",1.81,15.58,12.61,6.4,5.5
"01117",5.56,40.76,18.69,4.9,4.5
"01119",1.47,16.31,75,9.5,7.4
"01121",1.56,13.14,35.34,8.7,7
"01123",1.54,17.33,29.71,8,5.8
"01125",3.51,28.48,33.85,6.6,5.5
"01127",1.34,10.82,8.88,8.7,7.3
"01129",0.72,9.91,34.36,11.1,8.6
"01131",0,12.49,72.65,18.8,13.7
"01133",1.22,11.39,3.83,9.4,7.5
"02013",45.13,14.05,78.45,6.7,2.7
"02016",35.4,14.74,68.44,9.3,3.7
"02020",9.96,33.2,35.06,4.8,5.1
"02050",1.85,11.65,87.98,14.3,13.2
"02060",1.96,20.03,43.61,13.8,9.5
"02068",6.75,33.33,12.67,14.4,10.5
"02070",1.67,16.22,81.28,10.5,10
"02090",5.08,31.74,23.35,5.2,5.4
"02100",7.07,35.63,19.45,9.3,9.7
"02105",5.36,26.63,49.77,13.4,6.4
"02110",7.84,38.52,31,4.9,4.4
"02122",2.79,22.78,15.91,7.9,7.7
"02130",7.8,23.79,32.26,7.6,6
"02150",17.03,24.68,45.97,6.2,4.3
"02164",3.6,12.94,77.95,13,10.5
"02170",3.84,20.74,15.97,7.6,7.7
"02180",1.72,14.08,82.55,10.5,12.1
"02185",6.48,13.94,67.03,7.6,6.7
"02188",0.94,10.61,87.73,14,16.7
"02195",6.09,25.32,27.82,6.8,7.6
"02198",1.58,15.51,53.29,11.2,11
"02220",8.44,31.17,35.14,5,4
"02230",9.71,35.86,21.72,14.9,12.8
"02240",10.44,17.91,20.27,11.7,9.5
"02261",4.44,28.68,26.75,10.6,8.7
"02270",0.87,5,95.3,NA,NA
"02275",4.69,19.86,30.25,7.4,6.8
"02282",6.22,15.3,60.34,8.7,6.9
"02290",1.12,11.18,76.75,15.1,15.8
"04001",1.95,10.77,76.76,18.4,11
"04003",11.42,22.87,19.98,8.8,5.9
"04005",5.44,33.61,37.18,7.8,5.7
"04007",4.34,16.71,20.86,9.8,7.1
"04009",4.79,13.21,22.96,8.1,6.2
"04011",4.64,10.78,10.64,7.6,6.7
"04012",12.72,9.94,26.07,8,5.6
"04013",14.81,30.45,20.42,6.9,4.4
"04015",7.28,11.82,10.95,10.6,6.3
"04017",2.66,14.74,51.6,13.3,7.6
"04019",12.93,30.28,22.12,7,4.8
"04021",10.14,17.98,20.63,8.2,5.3
"04023",33.6,22.03,20.25,17.1,11.7
