"state","county","FIPS","votes_dem_16","votes_gop_16","votes_total_16"
"AK","Alaska",2013,93003,130413,246588
"AK","Alaska",2016,93003,130413,246588
"AK","Alaska",2020,93003,130413,246588
"AK","Alaska",2050,93003,130413,246588
"AK","Alaska",2060,93003,130413,246588
"AK","Alaska",2068,93003,130413,246588
"AK","Alaska",2070,93003,130413,246588
"AK","Alaska",2090,93003,130413,246588
"AK","Alaska",2100,93003,130413,246588
"AK","Alaska",2105,93003,130413,246588
"AK","Alaska",2110,93003,130413,246588
"AK","Alaska",2122,93003,130413,246588
"AK","Alaska",2130,93003,130413,246588
"AK","Alaska",2150,93003,130413,246588
"AK","Alaska",2164,93003,130413,246588
"AK","Alaska",2170,93003,130413,246588
"AK","Alaska",2180,93003,130413,246588
"AK","Alaska",2185,93003,130413,246588
"AK","Alaska",2188,93003,130413,246588
"AK","Alaska",2195,93003,130413,246588
"AK","Alaska",2198,93003,130413,246588
"AK","Alaska",2220,93003,130413,246588
"AK","Alaska",2230,93003,130413,246588
"AK","Alaska",2240,93003,130413,246588
"AK","Alaska",2261,93003,130413,246588
"AK","Alaska",2270,93003,130413,246588
"AK","Alaska",2275,93003,130413,246588
"AK","Alaska",2282,93003,130413,246588
"AK","Alaska",2290,93003,130413,246588
"AL","Autauga County",1001,5908,18110,24661
"AL","Baldwin County",1003,18409,72780,94090
"AL","Barbour County",1005,4848,5431,10390
"AL","Bibb County",1007,1874,6733,8748
"AL","Blount County",1009,2150,22808,25384
"AL","Bullock County",1011,3530,1139,4701
"AL","Butler County",1013,3716,4891,8685
"AL","Calhoun County",1015,13197,32803,47376
"AL","Chambers County",1017,5763,7803,13778
"AL","Cherokee County",1019,1524,8809,10503
"AL","Chilton County",1021,2909,15068,18255
"AL","Choctaw County",1023,3109,4102,7268
"AL","Clarke County",1025,5712,7109,12936
"AL","Clay County",1027,1234,5230,6572
"AL","Cleburne County",1029,684,5738,6532
"AL","Coffee County",1031,4194,15825,20513
"AL","Colbert County",1033,7296,16718,24626
"AL","Conecuh County",1035,3069,3413,6543
"AL","Coosa County",1037,1780,3376,5223
"AL","Covington County",1039,2379,13222,15818
"AL","Crenshaw County",1041,1663,4511,6252
"AL","Cullman County",1043,3730,32734,37278
"AL","Dale County",1045,4408,13798,18617
"AL","Dallas County",1047,12826,5784,18730
"AL","DeKalb County",1049,3682,21779,26086
"AL","Elmore County",1051,8436,27619,36905
"AL","Escambia County",1053,4698,10282,15213
"AL","Etowah County",1055,10350,32132,43474
"AL","Fayette County",1057,1358,6705,8196
"AL","Franklin County",1059,2197,9466,11955
"AL","Geneva County",1061,1522,9967,11659
"AL","Greene County",1063,4006,838,4862
"AL","Hale County",1065,4772,3172,8010
"AL","Henry County",1067,2286,5623,8017
"AL","Houston County",1069,10547,30567,42030
"AL","Jackson County",1071,3663,16643,20785
"AL","Jefferson County",1073,151581,130614,290111
"AL","Lamar County",1075,1035,5819,6931
"AL","Lauderdale County",1077,9877,27735,38813
"AL","Lawrence County",1079,3611,10732,14623
"AL","Lee County",1081,20987,34321,57668
"AL","Limestone County",1083,9340,28824,39400
"AL","Lowndes County",1085,4882,1751,6676
"AL","Macon County",1087,7237,1394,8748
"AL","Madison County",1089,62435,89199,159473
"AL","Marengo County",1091,5607,5224,10948
"AL","Marion County",1093,1432,11273,12912
"AL","Marshall County",1095,4913,29217,34965
"AL","Mobile County",1097,68429,91087,163387
"AL","Monroe County",1099,4310,5771,10185
"AL","Montgomery County",1101,58669,33928,94572
"AL","Morgan County",1103,11216,37392,49991
"AL","Perry County",1105,3823,1403,5255
"AL","Pickens County",1107,3972,5454,9494
"AL","Pike County",1109,5039,7681,13025
"AL","Randolph County",1111,2290,7697,10130
"AL","Russell County",1113,9577,9210,19136
"AL","Shelby County",1117,22927,72846,99208
"AL","St. Clair County",1115,5550,31579,37937
"AL","Sumter County",1119,4739,1581,6391
"AL","Talladega County",1121,12108,20596,33218
"AL","Tallapoosa County",1123,5271,12967,18504
"AL","Tuscaloosa County",1125,31746,47701,81708
"AL","Walker County",1127,4486,24208,29243
"AL","Washington County",1129,2366,6031,8492
"AL","Wilcox County",1131,4329,1737,6095
"AL","Winston County",1133,871,9225,10255
"AR","Arkansas County",5001,1939,3825,6167
"AR","Ashley County",5003,2408,5338,8027
"AR","Baxter County",5005,4163,14655,19572
"AR","Benton County",5007,27894,60751,94262
"AR","Boone County",5009,2925,12225,15912
"AR","Bradley County",5011,1317,2163,3617
"AR","Calhoun County",5013,636,1554,2250
"AR","Carroll County",5015,3334,6773,10656
"AR","Chicot County",5017,2350,1716,4149
"AR","Clark County",5019,3606,4398,8365
"AR","Clay County",5021,1999,3779,5978
"AR","Cleburne County",5023,2101,9454,11968
"AR","Cleveland County",5025,723,2460,3299
"AR","Columbia County",5027,3140,5456,8837
"AR","Conway County",5029,2655,4844,7837
"AR","Craighead County",5031,10474,22798,34968
"AR","Crawford County",5033,4476,16655,22155
"AR","Crittenden County",5035,8368,6953,15798
"AR","Cross County",5037,1995,4577,6831
"AR","Dallas County",5039,1165,1507,2741
"AR","Desha County",5041,2227,1915,4226
"AR","Drew County",5043,2364,3967,6552
"AR","Faulkner County",5045,14525,29170,46364
"AR","Franklin County",5047,1376,5034,6698
"AR","Fulton County",5049,1067,3470,4744
"AR","Garland County",5051,12283,26053,40337
"AR","Grant County",5053,1407,5160,6855
"AR","Greene County",5055,3056,10698,14422
"AR","Hempstead County",5057,2371,4391,6984
"AR","Hot Spring County",5059,3137,8153,11815
"AR","Howard County",5061,1350,3155,4634
"AR","Independence County",5063,2878,9925,13443
"AR","Izard County",5065,1111,4042,5396
"AR","Jackson County",5067,1583,3262,5093
"AR","Jefferson County",5069,15721,9231,25683
"AR","Johnson County",5071,2421,6072,8997
"AR","Lafayette County",5073,1028,1750,2835
"AR","Lawrence County",5075,1263,4064,5629
"AR","Lee County",5077,1735,1229,3004
"AR","Lincoln County",5079,1252,2455,3814
"AR","Little River County",5081,1397,3604,5192
"AR","Logan County",5083,1712,5737,7839
"AR","Lonoke County",5085,5638,19902,26766
"AR","Madison County",5087,1587,4917,6782
"AR","Marion County",5089,1377,5077,6718
"AR","Miller County",5091,4273,11293,16015
"AR","Mississippi County",5093,5621,6988,12995
"AR","Monroe County",5095,1298,1400,2766
"AR","Montgomery County",5097,735,2573,3445
"AR","Nevada County",5099,1156,2001,3233
"AR","Newton County",5101,699,2875,3731
"AR","Ouachita County",5103,4320,5347,9881
"AR","Perry County",5105,1035,2979,4213
"AR","Phillips County",5107,4292,2443,6894
"AR","Pike County",5109,684,3150,3956
"AR","Poinsett County",5111,1878,3149,5283
"AR","Polk County",5113,1210,6606,8121
"AR","Pope County",5115,4818,15694,21545
"AR","Prairie County",5117,812,2503,3404
"AR","Pulaski County",5119,89377,61182,157728
"AR","Randolph County",5121,1425,4508,6313
"AR","Saline County",5125,13247,35852,51971
"AR","Scott County",5127,507,2378,3017
"AR","Searcy County",5129,601,2955,3698
"AR","Sebastian County",5131,12184,28769,43557
"AR","Sevier County",5133,1075,3281,4517
"AR","Sharp County",5135,1472,5405,7190
"AR","St. Francis County",5123,4031,3195,7412
"AR","Stone County",5137,1189,4081,5527
"AR","Union County",5139,5667,10201,16338
"AR","Van Buren County",5141,1547,5382,7111
"AR","Washington County",5143,32296,40418,78153
"AR","White County",5145,5157,21038,27451
"AR","Woodruff County",5147,1117,1344,2550
"AR","Yell County",5149,1472,4600,6389
"AZ","Apache County",4001,12196,5315,18659
"AZ","Cochise County",4003,15291,25036,43147
"AZ","Coconino County",4005,25308,16573,44929
"AZ","Gila County",4007,6746,13672,21398
"AZ","Graham County",4009,3301,8025,11939
"AZ","Greenlee County",4011,1092,1892,3243
"AZ","La Paz County",4012,1318,3381,4931
"AZ","Maricopa County",4013,549040,590465,1201934
"AZ","Mohave County",4015,16485,54656,74189
"AZ","Navajo County",4017,15362,18165,35409
"AZ","Pima County",4019,195649,147019,360762
"AZ","Pinal County",4021,35737,53857,93805
"AZ","Santa Cruz County",4023,10684,3650,14926
"AZ","Yavapai County",4025,29705,58862,92780
"AZ","Yuma County",4027,18336,20586,40759
"CA","Alameda County",6001,486351,91189,613195
"CA","Alpine County",6003,318,211,575
"CA","Amador County",6005,5904,10239,17186
"CA","Butte County",6007,38676,42193,87847
"CA","Calaveras County",6009,7738,13072,22334
"CA","Colusa County",6011,2659,3551,6594
"CA","Contra Costa County",6013,286658,105819,415972
"CA","Del Norte County",6015,3485,5134,9361
"CA","El Dorado County",6017,35243,47633,89228
"CA","Fresno County",6019,123660,113949,250264
"CA","Glenn County",6021,3065,5788,9379
"CA","Humboldt County",6023,19596,10883,33636
"CA","Imperial County",6025,28467,11295,41751
"CA","Inyo County",6027,3155,4248,7996
"CA","Kern County",6029,86481,119164,217725
"CA","Kings County",6031,12902,17446,32250
"CA","Lake County",6033,6240,5752,13045
"CA","Lassen County",6035,2224,7574,10422
"CA","Los Angeles County",6037,1893770,620285,2652072
"CA","Madera County",6039,13283,19221,34263
"CA","Marin County",6041,86650,17531,109941
"CA","Mariposa County",6043,3122,5185,8877
"CA","Mendocino County",6045,6905,3571,11435
"CA","Merced County",6047,21856,18486,42523
"CA","Modoc County",6049,798,2413,3359
"CA","Mono County",6051,2696,2080,5154
"CA","Monterey County",6053,64733,26378,96676
"CA","Napa County",6055,26161,11946,40393
"CA","Nevada County",6057,16199,14686,33258
"CA","Orange County",6059,556544,472669,1092116
"CA","Placer County",6061,61969,78977,150532
"CA","Plumas County",6063,3224,5079,8830
"CA","Riverside County",6065,339145,309514,683612
"CA","Sacramento County",6067,273768,163024,467526
"CA","San Benito County",6069,10050,6471,17572
"CA","San Bernardino County",6071,312517,253962,598783
"CA","San Diego County",6073,567243,386807,1011651
"CA","San Francisco County",6075,312443,34493,365295
"CA","San Joaquin County",6077,89791,68316,166647
"CA","San Luis Obispo County",6079,63001,52672,124575
"CA","San Mateo County",6081,219580,53731,287499
"CA","Santa Barbara County",6083,100120,53740,164224
"CA","Santa Clara County",6085,483472,137452,659148
"CA","Santa Cruz County",6087,85185,20158,113509
"CA","Shasta County",6089,20471,47587,72554
"CA","Sierra County",6091,601,1048,1804
"CA","Siskiyou County",6093,7106,11212,19836
"CA","Solano County",6095,97159,49595,156067
"CA","Sonoma County",6097,116027,37421,164060
"CA","Stanislaus County",6099,73939,72960,156141
"CA","Sutter County",6101,11831,16780,30429
"CA","Tehama County",6103,6571,14981,22875
"CA","Trinity County",6105,1876,2409,4716
"CA","Tulare County",6107,39099,50488,94571
"CA","Tuolumne County",6109,8580,13486,23472
"CA","Ventura County",6111,170489,118764,307881
"CA","Yolo County",6113,34460,13178,50623
"CA","Yuba County",6115,7234,12313,21058
"CO","Adams County",8001,86471,73807,175125
"CO","Alamosa County",8003,3168,3031,6897
"CO","Arapahoe County",8005,148365,109638,281658
"CO","Archuleta County",8007,2489,4234,7290
"CO","Baca County",8009,278,1716,2107
"CO","Bent County",8011,581,1166,1892
"CO","Boulder County",8013,124715,38766,176735
"CO","Broomfield County",8014,19530,14272,37342
"CO","Chaffee County",8015,4773,5283,10999
"CO","Cheyenne County",8017,127,905,1076
"CO","Clear Creek County",8019,2585,2426,5532
"CO","Conejos County",8021,1753,1885,3970
"CO","Costilla County",8023,1109,581,1820
"CO","Crowley County",8025,336,1069,1511
"CO","Custer County",8027,797,2059,3064
"CO","Delta County",8029,4048,11584,16661
"CO","Denver County",8031,174611,43637,232291
"CO","Dolores County",8033,227,936,1230
"CO","Douglas County",8035,67045,100178,182918
"CO","Eagle County",8037,12652,8153,22611
"CO","Elbert County",8039,3056,11536,15689
"CO","El Paso County",8041,105807,176506,313273
"CO","Fremont County",8043,5275,15066,21880
"CO","Garfield County",8045,11205,13071,26328
"CO","Gilpin County",8047,1634,1564,3574
"CO","Grand County",8049,3319,4467,8513
"CO","Gunnison County",8051,5068,3250,9299
"CO","Hinsdale County",8053,197,339,589
"CO","Huerfano County",8055,1631,1875,3772
"CO","Jackson County",8057,171,628,862
"CO","Jefferson County",8059,151885,130233,309529
"CO","Kiowa County",8061,91,726,853
"CO","Kit Carson County",8063,526,2894,3613
"CO","Lake County",8065,1600,1264,3175
"CO","La Plata County",8067,15300,12471,30722
"CO","Larimer County",8069,92170,82624,193897
"CO","Las Animas County",8071,2614,3656,6693
"CO","Lincoln County",8073,399,1873,2402
"CO","Logan County",8075,1843,7272,9702
"CO","Mesa County",8077,20958,48129,74876
"CO","Mineral County",8079,237,344,652
"CO","Moffat County",8081,874,5293,6510
"CO","Montezuma County",8083,3920,7771,12706
"CO","Montrose County",8085,5438,14303,21070
"CO","Morgan County",8087,3128,8104,11888
"CO","Otero County",8089,1719,2988,5038
"CO","Ouray County",8091,1690,1337,3287
"CO","Park County",8093,3351,6053,10245
"CO","Phillips County",8095,436,1791,2332
"CO","Pitkin County",8097,7239,2522,10387
"CO","Prowers County",8099,1173,3508,4978
"CO","Pueblo County",8101,27945,27746,60112
"CO","Rio Blanco County",8103,433,2782,3436
"CO","Rio Grande County",8105,1985,3060,5488
"CO","Routt County",8107,7487,5149,13772
"CO","Saguache County",8109,1345,1109,2707
"CO","San Juan County",8111,265,215,506
"CO","San Miguel County",8113,2960,1030,4311
"CO","Sedgwick County",8115,267,1015,1364
"CO","Summit County",8117,9502,5064,16061
"CO","Teller County",8119,3547,9580,14203
"CO","Washington County",8121,289,2284,2708
"CO","Weld County",8123,45869,75882,133790
"CO","Yuma County",8125,701,3755,4664
"CT","Fairfield County",9001,238723,155457,410279
"CT","Hartford County",9003,233789,147912,399219
"CT","Litchfield County",9005,39836,53376,97434
"CT","Middlesex County",9007,45306,38847,88402
