,name,circuit.1,child,girls,sons,woman,yearb,race,religion,republican,progressive.vote
1,"Alarcon, Arthur L.",9,3,1,2,0,1925,3,4,0,0
2,"Aldisert, Ruggero",3,3,1,2,0,1919,1,4,0,0.666666667
3,"Aldrich, Bailey",1,2,0,2,0,1907,1,1,1,0.333333333
4,"Alito, Samuel A., Jr.",3,2,1,1,0,1950,1,4,1,0.5
5,"Altimari, Frank X.",2,4,1,3,0,1928,1,4,1,0.5
8,"Anderson, Stephen H.",10,1,1,0,0,1932,1,99,1,0.153846154
9,"Arnold, Morris S.",8,0,0,0,0,1941,1,2,1,0.515151515
10,"Arnold, Richard S.",8,2,2,0,0,1936,1,2,0,0.444444444
11,"Baldock, Bobby R.",10,2,0,2,0,1936,1,3,1,0.2
12,"Barkett, Rosemary",11,0,0,0,1,1939,1,4,0,0.6
13,"Barksdale, Rhesa H.",5,0,0,0,0,1944,1,2,1,0.428571429
14,"Barrett, James E.",10,3,1,2,0,1922,1,4,1,0.333333333
15,"Barry, Maryanne",3,1,0,1,1,1928,1,5,0,0
16,"Batchelder, Alice M.",6,2,1,1,1,1944,1,2,1,0.176470588
17,"Bauer, William J.",7,2,2,0,0,1926,1,4,1,0.4
18,"Beam, Clarence A.",8,5,0,5,0,1930,1,7,1,0.378378378
19,"Becker, Edward R.",3,3,1,2,0,1933,1,5,1,0.444444444
20,"Beezer, Robert R.",9,3,1,2,0,1928,1,4,1,0
21,"Benavides, Fortunato Pedro",5,2,2,0,0,1947,3,2,0,0.416666667
22,"Berzon, Marsha",9,2,1,1,1,1945,1,5,0,0.333333333
23,"Birch, Stanley F., Jr.",11,1,1,0,0,1945,1,2,1,0.545454545
24,"Black, Susan H.",11,0,0,0,1,1943,1,2,1,0.111111111
25,"Boggs, Danny J.",6,3,2,1,0,1944,1,5,1,0.214285714
26,"Boudin, Michael",1,3,1,2,0,1939,1,5,1,0.466666667
27,"Bowman, Pasco M.",8,3,2,1,0,1933,1,3,1,0.227272727
28,"Bownes, Hugh",1,3,1,2,0,1920,1,8,0,0.571428571
29,"Bright, Myron",8,2,1,1,0,1919,1,5,0,0.5
30,"Briscoe, Mary",10,0,0,0,1,1947,1,99,0,0.242424242
31,"Brorby, Wade",10,2,0,2,0,1934,1,7,1,0.290322581
32,"Brown, Bailey",6,1,0,1,0,1917,1,2,0,0
33,"Brunetti, Melvin T.",9,2,1,1,0,1933,1,99,1,0.6
34,"Buckley, James L.",12,6,1,5,0,1923,1,4,1,0
35,"Bye, Kermit",8,3,2,1,0,1937,1,24,0,0.416666667
36,"Cabranes, Jose Alberto",2,4,2,2,0,1940,3,4,0,1
37,"Calabresi, Guido",2,3,2,1,0,1932,1,4,0,0.555555556
38,"Campbell, Levin H.",1,3,2,1,0,1927,1,8,1,0.666666667
39,"Canby, William C.",9,3,1,2,0,1931,1,99,0,0.714285714
40,"Cardamone, Richard J.",2,0,0,0,0,1925,1,4,1,0.714285714
42,"Clark, Thomas A.",5,3,1,2,0,1920,1,10,0,0
43,"Clay, Eric",6,0,0,0,0,1951,2,99,0,0.428571429
44,"Coffey, John L.",7,2,1,1,0,1922,1,4,1,0.28125
45,"Coffin, Frank",1,4,3,1,0,1919,1,3,0,0.6
46,"Cole, Ransey",6,3,1,2,0,1951,2,99,0,0.5
47,"Contie, Leroy J.",6,2,1,1,0,1926,1,4,1,0.333333333
48,"Cowen, Robert E.",3,2,2,0,0,1930,1,5,1,0.5
49,"Cox, Emmett R.",11,2,1,1,0,1935,1,2,1,0.285714286
50,"Cudahy, Richard D.",7,7,4,3,0,1926,1,4,0,0.476190476
51,"Cummings, Walter",7,3,0,3,0,1916,1,4,0,0.363636364
52,"Cyr, Conrad F.",1,2,0,2,0,1931,1,4,1,0.7
53,"Daughtrey, Martha Craig",6,1,1,0,1,1942,1,2,0,0.375
55,"DeMoss, Harold R., Jr.",5,2,1,1,0,1930,1,2,1,0.5
56,"Dennis, James",5,2,0,2,0,1924,1,3,1,0.285714286
57,"Dubina, Joel F.",11,3,1,2,0,1947,1,7,1,0.8
58,"Duhe, John M.",5,4,2,2,0,1933,1,4,1,0.428571429
59,"Easterbrook, Frank H.",7,0,0,0,0,1948,1,3,1,0.236842105
60,"Ebel, David M.",10,4,2,2,0,1940,1,7,1,0.107142857
61,"Edmondson, James L.",11,2,2,0,0,1947,1,2,1,0.125
62,"Edwards, Harry T.",12,2,1,1,0,1940,2,8,0,0.625
63,"Engel, Albert J.",6,4,2,2,0,1924,1,2,1,0
64,"Ervin, Samuel J., III",4,4,2,2,0,1926,1,7,0,0.5
65,"Eschbach, Jesse E.",7,2,1,1,0,1920,1,7,1,0.25
66,"Evans, Terence",7,3,2,1,0,1940,1,4,0,0.454545455
67,"Fagg, George B.",8,6,3,3,0,1934,1,10,1,0.533333333
68,"Fairchild, Thomas",7,4,2,2,0,1912,1,11,0,0
69,"Farris, Joseph Jerome",9,2,2,0,0,1930,2,8,0,0.333333333
70,"Fay, Peter T.",5,2,0,2,0,1929,1,4,1,0.5
71,"Feinberg, Wilfred",2,3,2,1,0,1920,1,5,0,1
72,"Ferguson, Warren J.",9,4,2,2,0,1920,1,4,0,0.666666667
74,"Fisher, Raymond",9,2,1,1,0,1939,1,10,0,0.666666667
75,"Flaum, Joel M.",7,2,1,1,0,1936,1,5,1,0.46875
76,"Fletcher, Betty B.",9,4,2,2,0,1923,1,8,0,0.75
77,"Fletcher, William",9,0,0,0,0,1953,1,99,0,1
78,"Fuentes, Julio",3,3,3,0,0,1946,3,4,0,0.333333333
79,"Garland, Merrick",12,2,2,0,0,1952,1,99,0,0.5
