"year","age","male","educ","log_nrooms","log_landval","n_business","prop_hhmig","prop_cmig","log_npop","prop_self","prop_agri","prop_lessminwage"
1982,24,1,6,1.386294,0,0,0,0.0950252,10.62133,0.2796,0.24365,13.776
1982,28,1,6,1.386294,0,0,0.6666667,0.0950252,10.62133,0.2796,0.24365,13.776
1977,35,1,0,1.386294,0,0,0,0.0553382,10.20359,0.2831,0.34075,14.94673
1985,21,0,4,1.386294,0,0,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1986,24,1,7,1.386294,0,0,0.3333333,0.1196199,10.62133,0.2796,0.24365,13.90484
1986,30,0,2,1.386294,0,0,1,0.1196199,10.62133,0.2796,0.24365,13.90484
1975,20,1,6,0,0,0,0.3333333,0.0458357,10.20359,0.2831,0.34075,14.75543
1981,24,1,6,0,0,0,0.6666667,0.0894354,10.62133,0.2796,0.24365,13.62066
1987,22,1,8,1.609438,0,0,0,0.1274455,10.62133,0.2796,0.24365,13.67292
1972,34,1,3,1.098612,0,0,0,0.0346562,10.20359,0.2831,0.34075,15.65455
1987,18,1,6,1.098612,0,0,0.5,0.1274455,10.62133,0.2796,0.24365,13.67292
1983,24,0,6,1.94591,0,0,0.5,0.1006149,10.62133,0.2796,0.24365,13.93506
1979,24,1,5,0,12.14751,0,0,0.0659586,10.20359,0.2831,0.34075,14.56347
1984,18,1,6,1.098612,0,0,0,0.1073225,10.62133,0.2796,0.24365,13.8887
1985,17,1,6,1.098612,0,0,0.5,0.1106764,10.62133,0.2796,0.24365,13.7792
1980,30,1,6,2.079442,0,0,0,0.0771381,10.62133,0.2796,0.24365,13.73002
1986,56,0,0,2.079442,0,0,0.5,0.1196199,10.62133,0.2796,0.24365,13.90484
1978,22,1,6,1.386294,0,0,0,0.059251,10.20359,0.2831,0.34075,14.94865
1983,23,0,6,1.609438,0,0,0.5,0.1006149,10.62133,0.2796,0.24365,13.93506
1976,19,1,6,0,0,0,0,0.0508664,10.20359,0.2831,0.34075,14.82917
1979,23,0,6,0,0,0,0.5,0.0659586,10.20359,0.2831,0.34075,14.56347
1978,20,1,6,0,0,0,0,0.059251,10.20359,0.2831,0.34075,14.94865
1985,20,1,6,1.386294,0,0,0,0.1106764,10.62133,0.2796,0.24365,13.7792
1981,21,1,3,1.791759,0,0,0,0.0894354,10.62133,0.2796,0.24365,13.62066
1983,17,1,6,1.791759,0,0,0,0.1006149,10.62133,0.2796,0.24365,13.93506
1985,17,1,6,1.791759,0,0,0.5,0.1106764,10.62133,0.2796,0.24365,13.7792
1987,20,1,10,1.609438,0,0,0,0.1274455,10.62133,0.2796,0.24365,13.67292
1970,20,1,6,0,0,0,0,0.0307434,10.20359,0.2831,0.34075,14.69026
1972,20,1,6,0,0,0,0.3333333,0.0346562,10.20359,0.2831,0.34075,15.65455
1982,24,1,6,0,0,0,0.6666667,0.0950252,10.62133,0.2796,0.24365,13.776
1980,23,1,2,0,0,0,0.5,0.0771381,10.62133,0.2796,0.24365,13.73002
1980,23,1,4,0,0,1,0,0.0771381,10.62133,0.2796,0.24365,13.73002
1980,17,1,5,0,0,0,0,0.0771381,10.62133,0.2796,0.24365,13.73002
1973,21,0,9,0,0,0,0.3333333,0.038569,10.20359,0.2831,0.34075,15.62987
1974,49,0,2,1.609438,0,1,0.6666667,0.0408049,10.20359,0.2831,0.34075,14.87976
1968,40,1,0,1.791759,0,0,0,0.0262717,9.952278,0.3014,0.5274,14.54793
1979,17,1,6,0,0,0,0,0.0659586,10.20359,0.2831,0.34075,14.56347
1987,27,1,6,0,0,0,0.5,0.1274455,10.62133,0.2796,0.24365,13.67292
1976,21,1,3,0,0,0,0,0.0508664,10.20359,0.2831,0.34075,14.82917
