,id,state,Clinton,Trump,Undecided,days_to_election,electoral_votes,sample_size
1,1,alabama,0.36,0.55,0.02,4,9,1131
2,2,alabama,0.37,0.58,0.05,5,9,341
3,3,alabama,0.38,0.54,0.08,12,9,585
4,4,alabama,0.35,0.55,0.03,11,9,485
5,5,alabama,0.37,0.58,0.05,13,9,349
6,6,alabama,0.36,0.52,0.02,18,9,415
7,7,alabama,0.38,0.57,NA,26,9,327
8,8,alabama,0.38,0.54,0.08,36,9,550
9,9,alabama,0.37,0.57,0.06,43,9,580
10,10,alabama,0.36,0.59,NA,44,9,545
11,11,alabama,0.4,0.53,0.07,64,9,628
12,12,alabama,0.36,0.57,0.07,79,9,958
13,13,alaska,0.31,0.48,0.03,4,3,409
14,14,alaska,0.41,0.53,0.07,5,3,308
15,15,alaska,0.38,0.46,0.02,11,3,300
16,16,alaska,0.41,0.55,0.04,13,3,304
17,17,alaska,0.47,0.43,NA,16,3,400
18,18,alaska,0.31,0.46,0.02,18,3,443
19,19,alaska,0.34,0.37,0.18,34,3,500
20,20,alaska,0.42,0.46,0.12,39,3,660
21,21,alaska,0.31,0.39,0.16,55,3,500
22,22,alaska,0.39,0.47,0.14,79,3,989
23,23,alaska,0.29,0.39,0.17,72,3,500
24,24,arizona,0.45,0.42,0.03,4,11,2609
25,25,arizona,0.41,0.43,0.08,3,11,392
26,26,arizona,0.44,0.47,0.01,3,11,550
27,27,arizona,0.43,0.5,NA,5,11,354
28,28,arizona,0.42,0.47,0.11,12,11,857
29,29,arizona,0.39,0.47,0.07,7,11,550
30,30,arizona,0.41,0.46,0.02,8,11,719
31,31,arizona,0.41,0.42,0.06,9,11,1113
32,32,arizona,0.44,0.49,0,10,11,769
33,33,arizona,0.45,0.44,NA,9,11,2229
34,34,arizona,0.43,0.44,0.03,11,11,1457
35,35,arizona,0.41,0.45,0.08,10,11,550
36,36,arizona,0.43,0.51,NA,13,11,373
37,37,arizona,0.42,0.44,0.05,12,11,994
38,38,arizona,0.4,0.42,0.1,13,11,550
39,39,arizona,0.48,0.46,NA,16,11,2385
40,40,arizona,0.45,0.46,0.03,16,11,401
41,41,arizona,0.41,0.42,0.02,18,11,1550
42,42,arizona,0.41,0.41,0.1,22,11,550
43,43,arizona,0.38,0.45,0.09,27,11,1538
44,44,arizona,0.46,0.47,0.07,27,11,1028
45,45,arizona,0.43,0.38,0.08,27,11,713
46,46,arizona,0.39,0.37,0.1,25,11,400
47,47,arizona,0.39,0.45,0.16,36,11,1665
48,48,arizona,0.43,0.42,0.1,28,11,550
49,49,arizona,0.42,0.42,0.09,40,11,718
50,50,arizona,0.44,0.46,0.1,50,11,802
51,51,arizona,0.38,0.4,0.14,48,11,550
52,52,arizona,0.33,0.37,0.19,56,11,484
53,53,arizona,0.41,0.42,0.04,62,11,649
54,54,arizona,0.46,0.45,0.09,79,11,2026
55,55,arizona,0.35,0.34,0.23,76,11,704
56,56,arizona,0.43,0.46,0.11,73,11,837
57,57,arizona,0.4,0.39,0.13,74,11,728
58,58,arizona,0.44,0.49,0,80,11,809
59,59,arizona,0.42,0.44,0.05,96,11,1095
60,60,arizona,0.4,0.44,0.16,139,11,691
61,61,arizona,0.47,0.42,0.06,141,11,1060
62,62,arizona,0.43,0.48,0.03,146,11,300
63,63,arizona,0.38,0.4,0.13,178,11,896
64,64,arizona,0.42,0.35,0.23,214,11,564
65,65,arizona,0.38,0.38,0.15,244,11,701
66,66,arizona,0.42,0.44,0.13,338,11,504
67,67,arkansas,0.32,0.56,0.02,4,6,930
68,68,arkansas,0.37,0.57,NA,5,6,323
69,69,arkansas,0.38,0.53,0.09,12,6,515
70,70,arkansas,0.39,0.52,0.02,11,6,484
71,71,arkansas,0.37,0.58,NA,13,6,324
72,72,arkansas,0.31,0.51,0.18,17,6,585
73,73,arkansas,0.33,0.54,0.02,18,6,498
74,74,arkansas,0.36,0.52,0.12,36,6,495
75,75,arkansas,0.38,0.53,0.09,43,6,475
76,76,arkansas,0.41,0.51,0.08,64,6,437
77,77,arkansas,0.41,0.54,0.05,79,6,765
78,78,arkansas,0.36,0.47,0.09,140,6,751
79,79,california,0.56,0.31,0.02,4,55,2712
80,80,california,0.54,0.32,0.07,3,55,401
81,81,california,0.58,0.37,NA,5,55,507
82,82,california,0.59,0.32,0.09,12,55,1393
83,83,california,0.56,0.35,0.04,9,55,747
84,84,california,0.53,0.33,0.07,11,55,1498
85,85,california,0.55,0.3,0.03,11,55,2505
86,86,california,0.54,0.3,0.07,13,55,1365
87,87,california,0.58,0.33,0.06,13,55,1365
88,88,california,0.58,0.38,NA,13,55,481
89,89,california,0.54,0.31,0.02,18,55,1923
90,90,california,0.54,0.28,0.05,21,55,1012
91,91,california,0.56,0.3,0.07,25,55,725
92,92,california,0.61,0.25,0.08,29,55,622
93,93,california,0.66,0.22,0.12,36,55,1196
94,94,california,0.61,0.28,0.11,43,55,1885
95,95,california,0.59,0.33,0.03,42,55,732
96,96,california,0.47,0.31,0.06,56,55,1045
97,97,california,0.63,0.24,0.13,64,55,1189
98,98,california,0.57,0.3,0.09,56,55,515
99,99,california,0.5,0.33,0.06,59,55,1426
100,100,california,0.57,0.32,0.07,59,55,678
101,101,california,0.58,0.33,0.09,64,55,4212
102,102,california,0.49,0.29,0.05,64,55,4212
103,103,california,0.57,0.33,0.09,79,55,2574
104,104,california,0.49,0.28,0.05,79,55,2574
105,105,california,0.46,0.3,0.09,117,55,1056
106,106,california,0.58,0.28,0.14,141,55,956
107,107,california,0.5,0.26,0.14,141,55,956
108,108,california,0.54,0.28,0.06,152,55,1264
109,109,california,0.61,0.31,0.08,152,55,1264
110,110,california,0.48,0.33,0.07,159,55,1187
111,111,california,0.55,0.31,0.06,162,55,1833
112,112,california,0.53,0.34,0.13,164,55,1002
113,113,california,0.54,0.33,0.1,167,55,1150
114,114,california,0.52,0.38,0.1,171,55,1383
