depression,welfare,ibf,lm,gd,other,age,female,educ_m,white,foo_income,ftransition,ytogether
2.125,0,1,0,0,0,38,0,below hs,1,Above 200K,0,NA
1.375,0,0,0,0,1,26,0,college and above,1,NA,0,NA
1.25,0,1,0,0,0,21,1,college and above,1,150 to 200K,0,NA
2.875,1,0,1,0,0,28,0,college and above,1,0 to 20K,6,0
1.714285731,0,0,0,0,1,23,1,hs,0,0 to 20K,1,NA
2.25,1,0,0,0,1,25,0,some college,1,75 to 100K,0,NA
1.125,0,1,0,0,0,18,1,college and above,1,75 to 100K,0,NA
2.125,NA,1,0,0,0,20,0,NA,0,NA,0,NA
3.25,1,0,0,0,1,22,1,below hs,0,NA,0,NA
1.875,1,0,0,0,1,31,0,NA,0,0 to 20K,6,NA
2.75,0,1,0,0,0,35,0,hs,1,20 to 40K,0,NA
2.5,0,0,0,0,1,37,0,some college,1,40 to 75K,3,NA
2.625,0,0,0,0,1,19,1,college and above,1,40 to 75K,3,NA
1.375,0,0,0,0,1,27,1,some college,1,40 to 75K,4,NA
2.5,0,1,0,0,0,19,0,NA,0,NA,0,NA
1.75,0,0,0,0,1,31,0,some college,1,20 to 40K,5,NA
1.875,0,0,0,0,1,32,0,college and above,1,75 to 100K,5,NA
2.375,0,0,0,1,0,26,1,college and above,1,100 to 150K,3,0
1.5,0,1,0,0,0,30,0,college and above,1,75 to 100K,0,NA
2.625,0,0,0,0,1,28,0,hs,0,20 to 40K,0,NA
2.125,0,0,0,0,1,28,0,below hs,0,0 to 20K,2,NA
2.25,0,1,0,0,0,37,0,college and above,0,40 to 75K,0,NA
1.375,0,1,0,0,0,34,0,below hs,0,20 to 40K,0,NA
2.875,0,1,0,0,0,24,1,hs,1,75 to 100K,0,NA
2.625,1,1,0,0,0,21,1,hs,1,75 to 100K,0,NA
2.875,0,1,0,0,0,36,0,some college,1,0 to 20K,0,NA
1,0,0,0,0,1,25,0,hs,1,20 to 40K,2,NA
1.875,0,0,0,0,1,32,1,college and above,1,20 to 40K,1,NA
1.5,0,0,0,0,1,27,1,NA,0,40 to 75K,0,NA
2.5,0,1,0,0,0,22,0,below hs,0,75 to 100K,0,NA
2.375,0,0,0,0,1,28,0,some college,1,100 to 150K,0,NA
